=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2011.06.08 17:04:38 =~=~=~=~=~=~=~=~=~=~=~=
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1695, Data: 5,95,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1696, Data: 5,96,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1697, Data: 5,97,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1698, Data: 5,98,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1699, Data: 5,99,1,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1700, Data: 5,100,1,u,
Sunday, 01/01/01 - 00:07.29
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1701, Data: 5,1,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1702, Data: 5,2,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1703, Data: 5,3,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1704, Data: 5,4,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1705, Data: 5,5,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1706, Data: 5,6,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1707, Data: 5,7,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1708, Data: 5,8,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1709, Data: 5,9,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1710, Data: 5,10,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1711, Data: 5,11,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1712, Data: 5,12,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1713, Data: 5,13,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1714, Data: 5,14,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1715, Data: 5,15,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1716, Data: 5,16,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1717, Data: 5,17,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1718, Data: 5,18,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1719, Data: 5,19,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1720, Data: 5,20,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1721, Data: 5,21,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1722, Data: 5,22,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1723, Data: 5,23,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1724, Data: 5,24,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1725, Data: 5,25,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1726, Data: 5,26,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1727, Data: 5,27,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1728, Data: 5,28,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1729, Data: 5,29,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1730, Data: 5,30,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1731, Data: 5,31,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1732, Data: 5,32,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1733, Data: 5,33,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1734, Data: 5,34,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1735, Data: 5,35,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1736, Data: 5,36,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1737, Data: 5,37,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1738, Data: 5,38,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1739, Data: 5,39,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1740, Data: 5,40,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1741, Data: 5,41,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1742, Data: 5,42,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1743, Data: 5,43,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1744, Data: 5,44,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1745, Data: 5,45,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1746, Data: 5,46,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1747, Data: 5,47,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1748, Data: 5,48,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1749, Data: 5,49,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1750, Data: 5,50,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1751, Data: 5,51,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1752, Data: 5,52,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1753, Data: 5,53,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1754, Data: 5,54,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1755, Data: 5,55,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1756, Data: 5,56,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1757, Data: 5,57,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1758, Data: 5,58,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1759, Data: 5,59,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1760, Data: 5,60,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1761, Data: 5,61,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1762, Data: 5,62,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1763, Data: 5,63,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1764, Data: 5,64,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1765, Data: 5,65,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1766, Data: 5,66,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1767, Data: 5,67,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1768, Data: 5,68,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1769, Data: 5,69,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1770, Data: 5,70,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1771, Data: 5,71,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1772, Data: 5,72,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1773, Data: 5,73,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1774, Data: 5,74,2,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1775, Data: 5,75,2,u,
